gameName,gameId
007 Legends,0
0RBITALIS,1
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),2
10 Second Ninja,3
"10,000,000",4
100% Orange Juice,5
1000 Amps,6
12 Labours of Hercules,7
12 Labours of Hercules II The Cretan Bull,8
12 Labours of Hercules III Girl Power,9
140,10
15 Days,11
16 Bit Arena,12
16bit Trader,13
1701 A.D. Gold Edition,14
1701 A.D. Sunken Dragon,15
18 Wheels of Steel American Long Haul,16
1953 - KGB Unleashed,17
1953 NATO vs Warsaw Pact,18
1954 Alcatraz,19
1Heart,20
1Quest,21
3 Stars of Destiny,22
3089 -- Futuristic Action RPG,23
3D Mini Golf,24
3DMark,25
3DMark 11,26
3DMark API Overhead feature test,27
3DMark Cloud Gate benchmark,28
3DMark Fire Strike benchmark,29
3DMark Ice Storm benchmark,30
3DMark Sky Diver benchmark,31
3DMark Vantage,32
3SwitcheD,33
4 Elements,34
404Sight,35
500 Years Act 1,36
60 Seconds!,37
7 Days to Die,38
"7 Grand Steps, Step 1 What Ancients Begat",39
7 Wonders Ancient Alien Makeover,40
"7,62 High Calibre",41
8-Bit Adventures The Forgotten Journey Remastered Edition,42
8-Bit Commando,43
8BitBoy,44
8BitMMO,45
9 Clues 2 The Ward,46
9 Clues The Secret of Serpent Creek,47
9.03m,48
911 First Responders,49
99 Levels To Hell,50
99 Spirits,51
A Bastard's Tale,52
A Bird Story,53
A City Sleeps,54
A Druid's Duel,55
A Farewell to Dragons,56
A Game of Thrones - Genesis,57
A Golden Wake,58
A New Beginning - Final Cut,59
A Story About My Uncle,60
A Valley Without Wind,61
A Valley Without Wind 2,62
A Vampyre Story,63
A Virus Named TOM,64
A Walk in the Dark,65
A Wizard's Lizard,66
A-Men 2,67
A-Train 8,68
A.I.M. Racing,69
A.I.M.2 Clan Wars,70
A.R.E.S.,71
A.R.E.S. Extinction Agenda EX,72
A.V.A - Alliance of Valiant Arms,73
ACE - Arena Cyber Evolution,74
ACE COMBAT ASSAULT HORIZON Enhanced Edition,75
AGFPRO Fantasy Side-Scroller Player,76
AI War Fleet Command,77
AION Free-to-Play,78
AKIBA'S TRIP Undead & Undressed,79
ALLTYNEX Second,80
APB Reloaded,81
APOX,82
AR-K,83
ARK Survival Evolved,84
AVSEQ,85
AXEL,86
AXYOS,87
AZMD! Scorepocalypse ,88
AaAaAA!!! - A Reckless Disregard for Gravity,89
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,90
Aarklash Legacy,91
Abandoned Chestnut Lodge Asylum,92
Abducted,93
Aberoth,94
"About Love, Hate and the other ones",95
Absconding Zatwor,96
Absent,97
Absolute Drift,98
Abyss Odyssey,99
Abyss The Wraiths of Eden,100
Ace of Spades,101
Aces Wild Manic Brawling Action!,102
Achron,103
Act of Aggression,104
Act of War Direct Action,105
Act of War High Treason,106
Action! - Gameplay Recording and Streaming,107
Actual Sunlight,108
AdVenture Capitalist,109
Advent Rising,110
Adventure Chronicles The Search For Lost Treasure,111
Adventure Park,112
Adventure Time  Explore the Dungeon Because I DONT KNOW!,113
Adventurer Manager,114
